Strike,Ticker,Bid,Ask,Last,IVM,Volm
1000,AMZN 2/14/20 C1000,1131,1138,1135.640015,4599.822266,100
1645,AMZN 2/14/20 C1645,486.1000977,493.3000488,491.2999878,1725.59436,1
1760,AMZN 2/14/20 C1760,373,377.8999023,369.5599976,1328.446045,1
1800,AMZN 2/14/20 C1800,331.75,337.5998535,329.8299866,1193.459961,2
1805,AMZN 2/14/20 C1805,326.8498535,332.6999512,344.2000122,915.090271,3
1815,AMZN 2/14/20 C1815,319.0998535,320.25,308.3599854,1408.150757,1
1825,AMZN 2/14/20 C1825,308.6999512,310.0500488,329.5400085,1379.279785,3
1830,AMZN 2/14/20 C1830,302.25,306.5500488,299.7000122,1444.706421,7
1835,AMZN 2/14/20 C1835,299.1499023,300.1499023,295.3900146,1005.222351,1
1840,AMZN 2/14/20 C1840,294.0998535,296.3999023,290.8800049,1001.352112,6
1850,AMZN 2/14/20 C1850,281.1999512,286.6499023,283.75,1476.711182,9
1860,AMZN 2/14/20 C1860,272.8999023,275,272.3500061,1334.755859,3
1865,AMZN 2/14/20 C1865,268,270,261,1427.44397,2
1875,AMZN 2/14/20 C1875,257.1999512,261.1000977,261.6900024,857.359436,9
1880,AMZN 2/14/20 C1880,252.4499969,255,255.0599976,1117.179199,6
1882.5,AMZN 2/14/20 C1882.5,251.6499939,252.6000061,247.8500061,939.6856689,14
1885,AMZN 2/14/20 C1885,246.8999939,250,262.0100098,1319.148315,1
1887.5,AMZN 2/14/20 C1887.5,244.8999939,247.6000061,248.2299957,1030.021484,13
1890,AMZN 2/14/20 C1890,244.0500031,245.0500031,252.6399994,1061.545288,2
1892.5,AMZN 2/14/20 C1892.5,240.25,242.5,253.6399994,724.0646362,1
1895,AMZN 2/14/20 C1895,239.0500031,240,254.7400055,1225.994995,1
1897.5,AMZN 2/14/20 C1897.5,235.0500031,239.25,248.5800018,985.8642578,1
1900,AMZN 2/14/20 C1900,231.6000061,236.8999939,231.3500061,1142.74939,50
1905,AMZN 2/14/20 C1905,226.3999939,230,227.6000061,795.9558716,4
1910,AMZN 2/14/20 C1910,222.6000061,226.5,223.6999969,881.1695557,7
1915,AMZN 2/14/20 C1915,218.9499969,220,216.8800049,649.0577393,4
1917.5,AMZN 2/14/20 C1917.5,216.4499969,217.5,216.5200043,1102.586182,1
1925,AMZN 2/14/20 C1925,208.1499939,210,206.0399933,1088.335205,7
1930,AMZN 2/14/20 C1930,203.8999939,205,201.2200012,722.6491089,14
1935,AMZN 2/14/20 C1935,196.1999969,200.3000031,200.3699951,738.4915161,2
1940,AMZN 2/14/20 C1940,192.9499969,195,191.3300018,910.1696777,13
1945,AMZN 2/14/20 C1945,187.25,191.8500061,202.3999939,714.835144,3
1950,AMZN 2/14/20 C1950,182.3000031,185,184,962.444397,28
1955,AMZN 2/14/20 C1955,176.5,181.8999939,178.0500031,991.6889648,3
1960,AMZN 2/14/20 C1960,173.8000031,175,188.6199951,945.4807129,2
1965,AMZN 2/14/20 C1965,169.0500031,171.25,169.9199982,626.116394,5
1970,AMZN 2/14/20 C1970,162.5500031,166.1499939,162.5,537.7033691,19
1975,AMZN 2/14/20 C1975,156.4499969,161.6999969,158.5,836.4390869,4
1980,AMZN 2/14/20 C1980,154.0500031,155.1499939,165.4499969,792.7426147,2
1990,AMZN 2/14/20 C1990,144.0500031,145.0500031,141.8399963,579.1137085,5
1995,AMZN 2/14/20 C1995,137.8000031,140,142,734.0709229,7
2000,AMZN 2/14/20 C2000,132.8000031,135,132.6999969,567.0620728,35
2005,AMZN 2/14/20 C2005,126.25,130.6999969,129.1199951,634.213562,4
2007.5,AMZN 2/14/20 C2007.5,124.25,128.4499969,124.6999969,548.190918,1
2010,AMZN 2/14/20 C2010,124.1999969,125.3000031,122.1999969,679.8895874,5
2015,AMZN 2/14/20 C2015,118.5,120,133.6499939,544.5231323,1
2020,AMZN 2/14/20 C2020,114.0500031,115,113,698.0328369,75
2025,AMZN 2/14/20 C2025,109.0500031,110.0500031,106.8000031,527.8927612,16
2030,AMZN 2/14/20 C2030,103.9499969,105,101.6299973,557.7380981,20
2035,AMZN 2/14/20 C2035,98.8999939,101.3000031,95.19999695,516.2579956,16
2040,AMZN 2/14/20 C2040,94.19999695,95,92,417.0531616,43
2045,AMZN 2/14/20 C2045,86.44999695,92.44999695,87.04000092,534.4257202,21
2047.5,AMZN 2/14/20 C2047.5,86.59999084,88.25,86.5,383.8616028,3
2050,AMZN 2/14/20 C2050,82.40000916,85.05000305,84.5,470.8198242,327
2055,AMZN 2/14/20 C2055,79.15000916,81.94999695,79.54000092,426.3025818,13
2057.5,AMZN 2/14/20 C2057.5,75.05000305,78.90000916,78.06999969,314.6520081,1
2060,AMZN 2/14/20 C2060,74,76.30000305,72.5,395.6190796,65
2062.5,AMZN 2/14/20 C2062.5,70.94999695,73.3999939,70.31999969,365.4873047,1
2065,AMZN 2/14/20 C2065,69.1499939,70.09999084,71.65000153,350.710968,14
2067.5,AMZN 2/14/20 C2067.5,66.44999695,68.25,64.77999878,385.9570923,59
2070,AMZN 2/14/20 C2070,64.19999695,65.25,63.25,299.7137451,74
2072.5,AMZN 2/14/20 C2072.5,61.40000916,62.54998779,74.95999908,296.9512329,2
2075,AMZN 2/14/20 C2075,58.3500061,60,58.75,254.7238312,29
2077.5,AMZN 2/14/20 C2077.5,56.69999695,57.90000916,55.65999985,303.6594543,2
2080,AMZN 2/14/20 C2080,54.1499939,55.04998779,53.43000793,252.5965118,153
2085,AMZN 2/14/20 C2085,49.09999084,50.09999084,49,233.6771851,129
2090,AMZN 2/14/20 C2090,44.15000916,45.05000305,44.11999512,261.8288269,54
2095,AMZN 2/14/20 C2095,39.19999695,40.05000305,38.79000854,228.4360199,53
2100,AMZN 2/14/20 C2100,34.19999695,35.05000305,34.19999695,156.126297,603
2105,AMZN 2/14/20 C2105,29.19999695,30,28,137.5915222,91
2110,AMZN 2/14/20 C2110,24.19999695,25.1000061,23.80000305,118.8468933,601
2115,AMZN 2/14/20 C2115,19.19999695,20.1499939,17.45000076,105.7145081,133
2120,AMZN 2/14/20 C2120,13.94999981,15,13.72000027,81.84772491,740
2125,AMZN 2/14/20 C2125,9.25,10.14999962,8.590000153,56.64903259,795
2130,AMZN 2/14/20 C2130,4.449999809,5.350000381,4.900000572,41.97389603,4144
2135,AMZN 2/14/20 C2135,1.210000038,1.390000343,1.470000267,42.60917664,4071
2140,AMZN 2/14/20 C2140,0.350000024,0.470000029,0.439999998,58.53974533,8088
2145,AMZN 2/14/20 C2145,0.160000026,0.23999995,0.180000007,73.9264679,5599
2150,AMZN 2/14/20 C2150,0.129999995,0.150000036,0.129999995,89.01728058,7339
2155,AMZN 2/14/20 C2155,0.02,0.139999986,0.139999986,101.8179016,4381
2160,AMZN 2/14/20 C2160,0.050000001,0.180000007,0.069999993,103.6627121,5442
2165,AMZN 2/14/20 C2165,0.039999999,0.050000001,0.039999999,116.782547,3931
2170,AMZN 2/14/20 C2170,0.030000001,0.079999983,0.160000026,138.8430634,2693
2175,AMZN 2/14/20 C2175,0.010000002,0.030000001,0.030000001,130.3367157,2527
2180,AMZN 2/14/20 C2180,0.02,0.039999999,0.02,158.4216461,1883
2185,AMZN 2/14/20 C2185,0.01,0.02,0.01,151.5258179,2528
2190,AMZN 2/14/20 C2190,0.01,0.02,0.039999999,165.1060791,1552
2195,AMZN 2/14/20 C2195,0.01,0.02,0.010000002,177.572525,1391
2200,AMZN 2/14/20 C2200,0.010000002,0.02,0.02,190.5049744,2877
2205,AMZN 2/14/20 C2205,0.010000002,0.030000001,0.02,211.1453705,344
2210,AMZN 2/14/20 C2210,0.02,0.050000001,0.030000001,239.5492096,517
2215,AMZN 2/14/20 C2215,0,0.100000024,0.01,299.9815369,135
2220,AMZN 2/14/20 C2220,0.01,0.100000024,0.01,287.0685425,329
