Strike,Ticker,Bid,Ask,Last,IVM,Volm
1500,AMZN 2/14/20 P1500,0,0.01,0.01,3093.331127,2
1530,AMZN 2/14/20 P1530,0,0.01,0.01,2397.439255,2
1540,AMZN 2/14/20 P1540,0,0.129999995,0.01,1863.491025,2
1560,AMZN 2/14/20 P1560,0,0.01,0.01,1485.319636,9
1600,AMZN 2/14/20 P1600,0,0.07,0.01,1700.768496,5
1610,AMZN 2/14/20 P1610,0,0.129999995,0.01,1883.808358,2
1625,AMZN 2/14/20 P1625,0,0.039999999,0.02,1515.24474,52
1635,AMZN 2/14/20 P1635,0,0.100000001,0.01,1656.91682,9
1640,AMZN 2/14/20 P1640,0,0.150000006,0.01,4661.082272,2
1675,AMZN 2/14/20 P1675,0,0.540000021,0.01,1676.204072,1
1690,AMZN 2/14/20 P1690,0,0.50999999,0.01,1853.909664,57
1695,AMZN 2/14/20 P1695,0,0.01,0.01,2103.091522,2
1700,AMZN 2/14/20 P1700,0,0.01,0.01,2079.613069,27
1710,AMZN 2/14/20 P1710,0,0.01,0.01,1081.285395,6
1720,AMZN 2/14/20 P1720,0,1.5,0.01,2088.652667,7
1725,AMZN 2/14/20 P1725,0,0.129999995,0.01,1404.197442,1
1730,AMZN 2/14/20 P1730,0,0.129999995,0.01,1387.329235,6
1735,AMZN 2/14/20 P1735,0,0.050000001,0.01,1214.656497,19
1740,AMZN 2/14/20 P1740,0,0.01,0.01,1363.835389,22
1745,AMZN 2/14/20 P1745,0,0.129999995,0.01,1316.113893,1
1750,AMZN 2/14/20 P1750,0,0.01,0.01,1301.705637,7
1755,AMZN 2/14/20 P1755,0,1.5,0.01,1927.380273,22
1760,AMZN 2/14/20 P1760,0,0.01,0.050000001,1134.379819,20
1770,AMZN 2/14/20 P1770,0,0.01,0.01,1008.007229,6
1775,AMZN 2/14/20 P1775,0,0.01,0.01,2430.568484,1
1780,AMZN 2/14/20 P1780,0,0.129999995,0.02,1315.00725,8
1790,AMZN 2/14/20 P1790,0,0.01,0.059999999,953.4693773,6
1795,AMZN 2/14/20 P1795,0,0.769999981,0.01,1332.553287,16
1800,AMZN 2/14/20 P1800,0,0.01,0.01,927.2246076,296
1805,AMZN 2/14/20 P1805,0,0.01,0.01,837.8904723,2
1810,AMZN 2/14/20 P1810,0,0.01,0.01,825.3523065,8
1812.5,AMZN 2/14/20 P1812.5,0,0.01,0.01,819.0918985,11
1817.5,AMZN 2/14/20 P1817.5,0,0.519999981,0.01,1350.207321,2
1820,AMZN 2/14/20 P1820,0,0.01,0.01,1508.609912,4
1825,AMZN 2/14/20 P1825,0,0.129999995,0.02,1071.495867,24
1830,AMZN 2/14/20 P1830,0,0.02,0.02,874.7945218,15
1835,AMZN 2/14/20 P1835,0,0.02,0.01,822.5799014,1
1840,AMZN 2/14/20 P1840,0,0.01,0.01,1003.944206,6
1847.5,AMZN 2/14/20 P1847.5,0,0.01,0.01,979.2820833,1
1850,AMZN 2/14/20 P1850,0,0.01,0.01,1119.087243,74
1855,AMZN 2/14/20 P1855,0,0.01,0.02,1100.17388,2
1860,AMZN 2/14/20 P1860,0,0.01,0.01,1081.205282,2
1865,AMZN 2/14/20 P1865,0,0.01,0.01,921.974206,3
1870,AMZN 2/14/20 P1870,0,0.01,0.01,1043.795176,88
1872.5,AMZN 2/14/20 P1872.5,0,0.01,0.01,1034.169596,16
1875,AMZN 2/14/20 P1875,0,0.01,0.01,889.4636555,15
1880,AMZN 2/14/20 P1880,0,0.01,0.01,1005.981561,38
1890,AMZN 2/14/20 P1890,0,0.01,0.01,968.4876478,159
1892.5,AMZN 2/14/20 P1892.5,0,0.01,0.01,959.0201852,1
1895,AMZN 2/14/20 P1895,0,0.01,0.01,824.480721,18
1897.5,AMZN 2/14/20 P1897.5,0,0.01,0.02,940.4645989,6
1900,AMZN 2/14/20 P1900,0,0.01,0.01,930.8323628,106
1905,AMZN 2/14/20 P1905,0,0.01,0.01,911.9634615,74
1910,AMZN 2/14/20 P1910,0,0.01,0.01,775.6018909,56
1915,AMZN 2/14/20 P1915,0,0.01,0.050000001,759.1903746,1
1920,AMZN 2/14/20 P1920,0,0.01,0.029999999,742.9318982,222
