,Stock,Contract,Type,Underlying,Strike,Expiration,TTM,OI,Volume,Bid,Ask,Price,Moneyness
0,AMZN,AMZN200417P00980000,p,1932.5763,980.0,2020-04-17,0.11578488077118214,214,46.0,0.0,1.33,0.665,952.5763
1,AMZN,AMZN200417P01000000,p,1932.5763,1000.0,2020-04-17,0.11578488077118214,105,15.0,0.0,1.39,0.695,932.5763
2,AMZN,AMZN200417P01020000,p,1932.5763,1020.0,2020-04-17,0.11578488077118214,24,4.0,0.16,1.58,0.87,912.5763
3,AMZN,AMZN200417P01040000,p,1932.5763,1040.0,2020-04-17,0.11578488077118214,17,10.0,0.42,1.47,0.945,892.5763
4,AMZN,AMZN200417P01060000,p,1932.5763,1060.0,2020-04-17,0.11578488077118214,47,10.0,0.58,1.6,1.09,872.5763
5,AMZN,AMZN200417P01080000,p,1932.5763,1080.0,2020-04-17,0.11578488077118214,148,12.0,0.56,1.45,1.005,852.5763
6,AMZN,AMZN200417P01090000,p,1932.5763,1090.0,2020-04-17,0.11578488077118214,1,,0.83,1.8,1.315,842.5763
7,AMZN,AMZN200417P01100000,p,1932.5763,1100.0,2020-04-17,0.11578488077118214,45,1.0,1.26,1.61,1.435,832.5763
8,AMZN,AMZN200417P01120000,p,1932.5763,1120.0,2020-04-17,0.11578488077118214,7,7.0,1.45,1.77,1.6099999999999999,812.5763
9,AMZN,AMZN200417P01140000,p,1932.5763,1140.0,2020-04-17,0.11578488077118214,88,10.0,1.62,2.02,1.82,792.5763
10,AMZN,AMZN200417P01150000,p,1932.5763,1150.0,2020-04-17,0.11578488077118214,201,591.0,1.79,2.12,1.955,782.5763
11,AMZN,AMZN200417P01160000,p,1932.5763,1160.0,2020-04-17,0.11578488077118214,12,3.0,1.81,2.29,2.05,772.5763
12,AMZN,AMZN200417P01180000,p,1932.5763,1180.0,2020-04-17,0.11578488077118214,48,5.0,2.14,2.5,2.3200000000000003,752.5763
13,AMZN,AMZN200417P01200000,p,1932.5763,1200.0,2020-04-17,0.11578488077118214,67,1.0,2.29,2.75,2.52,732.5763
