Strike,Ticker,Bid,Ask,Last,IVM,Volm
80,SPY 2/21/20 C80,257.1298828,257.4399414,257.25,391.5055542,5
200,SPY 2/21/20 C200,137.1799927,137.4900055,136.9700012,151.9698029,2
230,SPY 2/21/20 C230,107.1799927,107.5,107.6100006,114.347641,1
250,SPY 2/21/20 C250,87.30000305,87.44999695,87.21000671,93.63691711,3
278,SPY 2/21/20 C278,59.20999146,59.52999878,59.49000549,63.22159195,1
280,SPY 2/21/20 C280,57.20999146,57.52999878,57.47999573,61.15552902,1
286,SPY 2/21/20 C286,51.22999573,51.53999329,50.58999634,55.62757874,2
288,SPY 2/21/20 C288,49.22999573,49.55000305,48.68000793,53.77392578,5
290,SPY 2/21/20 C290,47.22999573,47.54000854,47.66999817,51.53788376,3
293,SPY 2/21/20 C293,44.24000549,44.54998779,44.80000305,48.84780884,5
297,SPY 2/21/20 C297,40.25,40.55000305,40.46000671,44.9445076,1
300,SPY 2/21/20 C300,37.25,37.55000305,36.97999573,41.89512253,43
303,SPY 2/21/20 C303,34.25999451,34.55000305,34.80999756,38.9997139,22
304,SPY 2/21/20 C304,33.25999451,33.55999756,33.33000183,38.12675095,1
305,SPY 2/21/20 C305,32.27999878,32.55999756,32.08000183,37.38433075,3
306,SPY 2/21/20 C306,31.27000427,31.55999756,31.3500061,36.22545242,95
307,SPY 2/21/20 C307,30.38999939,30.55999756,30.83999634,36.69578552,1
308,SPY 2/21/20 C308,29.29000854,29.57000732,29.1499939,34.56546783,16
309,SPY 2/21/20 C309,28.29000854,28.57000732,29.00999451,33.53483963,1
310,SPY 2/21/20 C310,27.41000366,27.58000183,27.27000427,33.96871948,86
311,SPY 2/21/20 C311,26.30000305,26.58000183,26.41000366,31.70392036,5
312,SPY 2/21/20 C312,25.30000305,25.58999634,24.69999695,30.77698708,4
312.5,SPY 2/21/20 C312.5,24.80999756,25.08999634,25.08000183,30.36520386,1
313,SPY 2/21/20 C313,24.41999817,24.6000061,24.82000732,31.06451797,9
314,SPY 2/21/20 C314,23.32000732,23.6000061,23.3999939,29.00307274,3
315,SPY 2/21/20 C315,22.44000244,22.61000061,22.43000793,29.18173027,72
316,SPY 2/21/20 C316,21.33000183,21.61999512,21.36999512,27.18031883,66
317,SPY 2/21/20 C317,20.46000671,20.63000488,20.24000549,27.33748436,26
317.5,SPY 2/21/20 C317.5,19.8500061,20.13999939,20.21000671,25.93637276,10
318,SPY 2/21/20 C318,19.3500061,19.63999939,20.07000732,25.39512825,11
319,SPY 2/21/20 C319,18.47999573,18.6499939,18.1499939,25.43276405,67
320,SPY 2/21/20 C320,17.5,17.66999817,17.52999878,24.60259628,213
321,SPY 2/21/20 C321,16.50999451,16.68000793,16.77000427,23.60447311,105
322,SPY 2/21/20 C322,15.52000046,15.69999981,15.43999958,22.65566063,173
322.5,SPY 2/21/20 C322.5,15.03999996,15.21000004,14.82999992,22.26870155,117
323,SPY 2/21/20 C323,14.55000019,14.72000027,14.82999992,21.80827141,42
324,SPY 2/21/20 C324,13.57999992,13.75,13.56999969,20.98177528,1533
325,SPY 2/21/20 C325,12.60999966,12.77000046,12.46000004,20.05566788,3002
326,SPY 2/21/20 C326,11.64999962,11.80000019,11.85000038,19.19520187,55
327,SPY 2/21/20 C327,10.68000031,10.85000038,10.5,18.33160973,49
327.5,SPY 2/21/20 C327.5,10.13000011,10.38000011,10.77000046,17.59486771,18
328,SPY 2/21/20 C328,9.75,9.899999619,9.470000267,17.58956909,287
329,SPY 2/21/20 C329,8.81000042,8.960000038,8.729999542,16.76407051,454
330,SPY 2/21/20 C330,7.900000572,8.029999733,7.880000114,16.00997925,2558
331,SPY 2/21/20 C331,6.989999771,7.039999962,6.920000076,14.9353857,824
332,SPY 2/21/20 C332,6.11000061,6.150000572,6,14.21686172,1432
332.5,SPY 2/21/20 C332.5,5.690000534,5.720000267,5.460000038,13.9145155,358
333,SPY 2/21/20 C333,5.260000229,5.289999962,5.340000153,13.53650284,2267
334,SPY 2/21/20 C334,4.440000534,4.470000267,4.480000496,12.8803854,1715
335,SPY 2/21/20 C335,3.659999847,3.680000305,3.710000038,12.20352077,6101
336,SPY 2/21/20 C336,2.930000305,2.949999809,2.940000534,11.56440735,16843
337,SPY 2/21/20 C337,2.270000458,2.289999962,2.270000458,10.97998524,27404
337.5,SPY 2/21/20 C337.5,1.980000496,1.989999771,2.020000458,10.73349762,12257
338,SPY 2/21/20 C338,1.699999809,1.720000267,1.720000267,10.49205589,10823
339,SPY 2/21/20 C339,1.230000496,1.239999771,1.25,10.08278465,10848
340,SPY 2/21/20 C340,0.850000024,0.860000014,0.860000014,9.736096382,21359
341,SPY 2/21/20 C341,0.560000002,0.569999993,0.579999983,9.440730095,8724
342,SPY 2/21/20 C342,0.360000014,0.370000005,0.360000014,9.273415565,4424
342.5,SPY 2/21/20 C342.5,0.290000021,0.300000012,0.290000021,9.260976791,3230
343,SPY 2/21/20 C343,0.230000019,0.24000001,0.230000019,9.234250069,1527
344,SPY 2/21/20 C344,0.139999986,0.150000036,0.160000026,9.186413765,3986
345,SPY 2/21/20 C345,0.090000033,0.100000024,0.100000024,9.324515343,1408
346,SPY 2/21/20 C346,0.059999999,0.069999993,0.059999999,9.556946754,872
347,SPY 2/21/20 C347,0.039999999,0.050000001,0.039999999,9.807806015,452
347.5,SPY 2/21/20 C347.5,0.030000001,0.039999999,0.050000001,9.83089447,14
348,SPY 2/21/20 C348,0.02,0.030000001,0.039999999,9.745016098,48
349,SPY 2/21/20 C349,0.02,0.030000001,0.02,10.50223732,1317
350,SPY 2/21/20 C350,0.010000002,0.02,0.02,10.53775311,576
352,SPY 2/21/20 C352,0.010000002,0.02,0.010000002,11.93703747,216
352.5,SPY 2/21/20 C352.5,0.010000002,0.02,0.010000002,12.2826395,72
353,SPY 2/21/20 C353,0.010000002,0.02,0.010000002,12.62665844,235
354,SPY 2/21/20 C354,0,0.010000002,0.010000002,12.7164259,1
355,SPY 2/21/20 C355,0,0.010000002,0.010000002,13.36976147,30
297,SPY 2/28/20 C297,40.41000366,40.69999695,40.50999451,34.18812943,1
308,SPY 2/28/20 C308,29.50999451,29.79000854,28.05999756,27.26949501,2
309,SPY 2/28/20 C309,28.52000427,28.80999756,29.22000122,26.68859673,1
310,SPY 2/28/20 C310,27.52999878,27.80999756,27.94999695,25.95644569,2
312,SPY 2/28/20 C312,25.55999756,25.83999634,25.30999756,24.7381134,6
313,SPY 2/28/20 C313,24.69000244,24.75999451,24.91000366,24.23106575,1
314,SPY 2/28/20 C314,23.61000061,23.88000488,24.13999939,23.64238358,1
315,SPY 2/28/20 C315,22.63999939,22.8999939,23.19000244,23.09134674,5
316,SPY 2/28/20 C316,21.6499939,21.93000793,22.33000183,22.46546936,10
317,SPY 2/28/20 C317,20.68000793,20.94999695,20.08000183,21.87313271,2
318,SPY 2/28/20 C318,19.72000122,19.97000122,19.25999451,21.30747986,4
319,SPY 2/28/20 C319,18.75,19.00999451,18.1000061,20.76181984,10
320,SPY 2/28/20 C320,17.88000488,17.97000122,17.77000427,20.27273941,24
321,SPY 2/28/20 C321,16.91999817,16.99000549,17.27000427,19.62418556,62
322,SPY 2/28/20 C322,15.88000011,16.13000488,14.93999958,19.10656357,1
323,SPY 2/28/20 C323,15.02000046,15.09000015,14.53999996,18.54931068,12
324,SPY 2/28/20 C324,14.06999969,14.14999962,13.96000004,17.98809242,24
325,SPY 2/28/20 C325,13.14000034,13.21000004,12.89000034,17.45052147,289
326,SPY 2/28/20 C326,12.21000004,12.30000019,11.97999954,16.95696449,37
327,SPY 2/28/20 C327,11.28999996,11.35000038,11.19999981,16.31997108,198
327.5,SPY 2/28/20 C327.5,10.84000015,10.88000011,10.73999977,16.02624512,126
328,SPY 2/28/20 C328,10.39000034,10.43000031,10.15999985,15.77316856,266
329,SPY 2/28/20 C329,9.5,9.550000191,9.449999809,15.29334545,269
330,SPY 2/28/20 C330,8.630000114,8.659999847,8.380000114,14.76241684,1045
331,SPY 2/28/20 C331,7.769999504,7.800000191,7.659999847,14.24601078,255
332,SPY 2/28/20 C332,6.920000076,6.949999809,6.680000305,13.68578815,663
332.5,SPY 2/28/20 C332.5,6.510000229,6.539999962,6.260000229,13.43455219,410
333,SPY 2/28/20 C333,6.11000061,6.130000114,5.880000114,13.17737961,993
334,SPY 2/28/20 C334,5.320000648,5.340000153,5.130000114,12.65816498,1482
335,SPY 2/28/20 C335,4.56000042,4.590000153,4.600000381,12.14967155,2054
336,SPY 2/28/20 C336,3.850000381,3.869999886,3.890000343,11.64939022,3363
337,SPY 2/28/20 C337,3.180000305,3.210000038,3.199999809,11.17134571,3547
337.5,SPY 2/28/20 C337.5,2.869999886,2.890000343,2.900000572,10.92851448,2699
338,SPY 2/28/20 C338,2.579999924,2.600000381,2.630000114,10.7281599,5354
339,SPY 2/28/20 C339,2.039999962,2.06000042,2.029999733,10.31614399,10457
340,SPY 2/28/20 C340,1.569999695,1.589999199,1.600000381,9.936666489,2516
341,SPY 2/28/20 C341,1.190000534,1.199999809,1.190000534,9.643167496,2478
342,SPY 2/28/20 C342,0.870000005,0.879999995,0.879999995,9.360549927,32376
342.5,SPY 2/28/20 C342.5,0.74000001,0.75,0.74000001,9.255113602,1510
343,SPY 2/28/20 C343,0.629999995,0.639999986,0.629999995,9.183618546,3457
344,SPY 2/28/20 C344,0.449999988,0.460000038,0.410000026,9.066660881,1774
345,SPY 2/28/20 C345,0.310000002,0.319999993,0.319999993,8.937681198,1836
346,SPY 2/28/20 C346,0.220000029,0.229999959,0.209999979,8.948316574,3601
347,SPY 2/28/20 C347,0.150000036,0.160000026,0.150000036,8.922447205,2111
347.5,SPY 2/28/20 C347.5,0.129999995,0.139999986,0.170000017,9.012372017,245
348,SPY 2/28/20 C348,0.110000014,0.120000005,0.129999995,9.062898636,29
349,SPY 2/28/20 C349,0.079999983,0.090000033,0.090000033,9.201721191,71
350,SPY 2/28/20 C350,0.059999999,0.069999993,0.059999999,9.396002769,1064
351,SPY 2/28/20 C351,0.039999999,0.050000001,0.039999999,9.443702698,3240
352,SPY 2/28/20 C352,0.029999997,0.039999999,0.039999999,9.659471512,29
352.5,SPY 2/28/20 C352.5,0.029999997,0.039999999,0.030000001,9.934486389,11
353,SPY 2/28/20 C353,0.030000001,0.039999999,0.02,10.20812225,10
354,SPY 2/28/20 C354,0.02,0.030000001,0.030000001,10.28455639,10
355,SPY 2/28/20 C355,0.02,0.030000001,0.010000002,10.80468082,1
360,SPY 2/28/20 C360,0.010000002,0.02,0.02,12.57702541,3
304,SPY 3/6/20 C304,33.72999573,34.00999451,34.05000305,26.67503548,1
305,SPY 3/6/20 C305,32.74000549,33.02999878,32.83000183,26.15577316,1
311,SPY 3/6/20 C311,26.88999939,27.16999817,26.91999817,23.3545208,51
312,SPY 3/6/20 C312,25.93000793,26.19999695,25.32000732,22.9299469,1
313,SPY 3/6/20 C313,24.96000671,25.24000549,23.74000549,22.4853363,1
315,SPY 3/6/20 C315,23.05000305,23.30999756,23.63999939,21.61141205,1
319,SPY 3/6/20 C319,19.25999451,19.5,18.55999756,19.85688591,4
320,SPY 3/6/20 C320,18.32000732,18.55999756,18.41999817,19.41394424,10
322.5,SPY 3/6/20 C322.5,16.08999634,16.13999939,15.80000019,18.31116104,40
323,SPY 3/6/20 C323,15.61999989,15.68000031,15.69999981,18.06650925,3
325,SPY 3/6/20 C325,13.81999969,13.86999989,13.52000046,17.26192856,196
326,SPY 3/6/20 C326,12.92000008,12.97000027,12.97000027,16.80764771,3
327,SPY 3/6/20 C327,12.02999973,12.10000038,11.97000027,16.39492607,23
327.5,SPY 3/6/20 C327.5,11.61999989,11.64999962,11.47999954,16.210989,163
328,SPY 3/6/20 C328,11.18000031,11.22000027,11.77999973,15.99329185,32
329,SPY 3/6/20 C329,10.32999992,10.35999966,10.47000027,15.57658672,7
330,SPY 3/6/20 C330,9.479999542,9.520000458,9.350000381,15.14050579,625
331,SPY 3/6/20 C331,8.659999847,8.699999809,8.68999958,14.73342037,530
332,SPY 3/6/20 C332,7.850000381,7.880000114,7.619999886,14.27702713,361
332.5,SPY 3/6/20 C332.5,7.449999809,7.489999771,7.390000343,14.06491852,368
333,SPY 3/6/20 C333,7.06000042,7.100000381,7.11000061,13.85045528,587
334,SPY 3/6/20 C334,6.31000042,6.340000153,6.520000458,13.44229031,675
335,SPY 3/6/20 C335,5.570000648,5.600000381,5.460000038,12.99507809,2370
336,SPY 3/6/20 C336,4.880000114,4.900000572,4.739999771,12.59288025,1542
337,SPY 3/6/20 C337,4.220000267,4.239999771,4.079999924,12.19258595,2241
337.5,SPY 3/6/20 C337.5,3.900000572,3.930000305,3.720000267,11.99535847,760
338,SPY 3/6/20 C338,3.600000381,3.619999886,3.520000458,11.79817295,536
339,SPY 3/6/20 C339,3.029999733,3.050000191,2.940000534,11.42880344,780
340,SPY 3/6/20 C340,2.510000229,2.529999733,2.390000343,11.07451725,610
341,SPY 3/6/20 C341,2.050000191,2.06000042,1.970000267,10.74289703,226
342,SPY 3/6/20 C342,1.640000343,1.659999847,1.600000381,10.44629669,6105
342.5,SPY 3/6/20 C342.5,1.460000038,1.470000267,1.380000114,10.29373169,446
343,SPY 3/6/20 C343,1.300000191,1.31000042,1.239999771,10.18725014,342
344,SPY 3/6/20 C344,1,1.010000229,0.980000019,9.914841652,691
345,SPY 3/6/20 C345,0.769999981,0.779999971,0.720000029,9.745378494,1255
346,SPY 3/6/20 C346,0.579999983,0.589999974,0.600000024,9.577783585,826
347,SPY 3/6/20 C347,0.439999998,0.449999988,0.439999998,9.496155739,809
347.5,SPY 3/6/20 C347.5,0.379999995,0.389999986,0.410000026,9.451282501,342
348,SPY 3/6/20 C348,0.329999983,0.340000033,0.389999986,9.431666374,5523
349,SPY 3/6/20 C349,0.24000001,0.25,0.280000031,9.340695381,103
350,SPY 3/6/20 C350,0.180000007,0.189999998,0.170000017,9.35152626,237
352,SPY 3/6/20 C352,0.099999964,0.110000014,0.090000033,9.416827202,4
352.5,SPY 3/6/20 C352.5,0.089999974,0.100000024,0.110000014,9.508432388,204
353,SPY 3/6/20 C353,0.079999983,0.090000033,0.090000033,9.581035614,32
354,SPY 3/6/20 C354,0.059999999,0.069999993,0.059999999,9.655950546,35
355,SPY 3/6/20 C355,0.050000001,0.059999999,0.059999999,9.880930901,61
356,SPY 3/6/20 C356,0.039999999,0.050000001,0.050000001,10.05102253,4
357.5,SPY 3/6/20 C357.5,0.029999997,0.039999999,0.030000001,10.36569595,1
360,SPY 3/6/20 C360,0.02,0.030000001,0.030000001,10.96862316,20
362,SPY 3/6/20 C362,0.009999998,0.02,0.02,11.1184864,500
368,SPY 3/6/20 C368,0.010000002,0.02,0.010000002,13.39918709,1
369,SPY 3/6/20 C369,0,0.010000002,0.010000002,13.21584034,2
313,SPY 3/13/20 C313,25.32000732,25.55999756,25.04000854,21.18494225,3
315,SPY 3/13/20 C315,23.44000244,23.68000793,23.38999939,20.52743149,3
317,SPY 3/13/20 C317,21.55999756,21.79000854,21.61999512,19.75146103,10
320,SPY 3/13/20 C320,18.77999878,19,18.83999634,18.62709045,84
321,SPY 3/13/20 C321,17.91000366,17.99000549,17.97999573,18.15189362,52
322,SPY 3/13/20 C322,17,17.08000183,17.07000732,17.78273392,32
322.5,SPY 3/13/20 C322.5,16.55000305,16.62998962,16.6499939,17.60752869,32
324,SPY 3/13/20 C324,15.21000004,15.27999973,15.21000004,17.05273247,52
325,SPY 3/13/20 C325,14.32999992,14.39000034,13.51000023,16.68531227,21
326,SPY 3/13/20 C326,13.47999954,13.52000046,13.38000011,16.37163353,107
327,SPY 3/13/20 C327,12.61999989,12.64999962,12.32999992,15.99906063,181
327.5,SPY 3/13/20 C327.5,12.18999958,12.22000027,12.68000031,15.80626488,114
328,SPY 3/13/20 C328,11.76000023,11.80000019,11.53999996,15.61978436,69
329,SPY 3/13/20 C329,10.92000008,10.94999981,10.69999981,15.23039913,191
330,SPY 3/13/20 C330,10.09000015,10.11999989,10.11999989,14.84292316,544
331,SPY 3/13/20 C331,9.279999733,9.31000042,9.25,14.46732426,101
332,SPY 3/13/20 C332,8.479999542,8.510000229,8.510000229,14.06837845,355
332.5,SPY 3/13/20 C332.5,8.090000153,8.119999886,8.119999886,13.87690353,300
333,SPY 3/13/20 C333,7.699999809,7.730000496,7.5,13.67065048,443
334,SPY 3/13/20 C334,6.949999809,6.980000496,6.930000305,13.29550076,260
