Strike,Ticker,Bid,Ask,Last,IVM,Volm
300,SPY 2/14/20 P300,0,0.01,0.01,756.165704,7
304,SPY 2/14/20 P304,0,0.01,0.01,681.4554932,4
305,SPY 2/14/20 P305,0,0.01,0.01,662.9244979,11
307,SPY 2/14/20 P307,0,0.01,0.01,625.539176,35
308,SPY 2/14/20 P308,0,0.01,0.01,607.0185044,35
312.5,SPY 2/14/20 P312.5,0,0.01,0.01,522.7282311,15
313,SPY 2/14/20 P313,0,0.01,0.01,513.2911064,11
314,SPY 2/14/20 P314,0,0.01,0.01,494.4052336,3
315,SPY 2/14/20 P315,0,0.01,0.01,475.7406566,35
316,SPY 2/14/20 P316,0,0.01,0.01,456.7428032,6
317,SPY 2/14/20 P317,0,0.01,0.01,437.9021937,5
318,SPY 2/14/20 P318,0,0.01,0.01,418.9039522,56
319,SPY 2/14/20 P319,0,0.01,0.01,399.6435808,53
320,SPY 2/14/20 P320,0,0.01,0.01,380.4735396,78
321,SPY 2/14/20 P321,0,0.01,0.01,361.4640686,304
322,SPY 2/14/20 P322,0,0.01,0.01,342.0037759,61
322.5,SPY 2/14/20 P322.5,0,0.01,0.01,332.3181975,25
323,SPY 2/14/20 P323,0,0.01,0.01,322.7909099,23
324,SPY 2/14/20 P324,0,0.01,0.01,303.1001354,109
325,SPY 2/14/20 P325,0,0.01,0.01,283.6686802,77
326,SPY 2/14/20 P326,0,0.01,0.01,263.6349117,144
327,SPY 2/14/20 P327,0,0.01,0.01,243.9190846,130
327.5,SPY 2/14/20 P327.5,0,0.01,0.01,233.665557,51
328,SPY 2/14/20 P328,0,0.01,0.01,223.3519965,79
329,SPY 2/14/20 P329,0,0.01,0.01,202.7572329,2394
330,SPY 2/14/20 P330,0,0.01,0.01,182.4187961,2518
331,SPY 2/14/20 P331,0,0.01,0.01,160.83778,3656
332,SPY 2/14/20 P332,0,0.01,0.01,139.665357,4923
332.5,SPY 2/14/20 P332.5,0,0.01,0.01,128.2789058,1558
333,SPY 2/14/20 P333,0,0.01,0.01,117.8302042,11110
333.5,SPY 2/14/20 P333.5,0,0.01,0.01,106.4318286,3320
334,SPY 2/14/20 P334,0,0.01,0.01,94.18740716,15852
334.5,SPY 2/14/20 P334.5,0,0.01,0.01,83.5307058,4858
335,SPY 2/14/20 P335,0,0.01,0.01,70.1556738,31478
335.5,SPY 2/14/20 P335.5,0,0.01,0.01,73.99841001,14575
