Strike,Ticker,Bid,Ask,Last,IVM,Volm
10,VIX 2/19/20 C10,4.600000381,5,5,0,2112
11,VIX 2/19/20 C11,3.800000191,4,3.980000496,86.40439606,12
12,VIX 2/19/20 C12,2.799999237,3,2.900000572,61.61041641,116
12.5,VIX 2/19/20 C12.5,2.349999428,2.5,2.400000572,82.31253815,11
13,VIX 2/19/20 C13,1.899999619,2,1.899999619,78.01271057,298
13.5,VIX 2/19/20 C13.5,1.5,1.600000381,1.550000191,86.22675323,22
14,VIX 2/19/20 C14,1.199999809,1.25,1.199999809,94.56777954,2269
14.5,VIX 2/19/20 C14.5,0.899999976,1,0.949999988,99.72693634,2194
15,VIX 2/19/20 C15,0.75,0.800000012,0.75,110.2823944,5852
16,VIX 2/19/20 C16,0.449999988,0.550000012,0.49000001,123.1486893,7664
17,VIX 2/19/20 C17,0.350000024,0.400000036,0.400000036,141.6629486,6826
18,VIX 2/19/20 C18,0.25,0.300000012,0.25,154.2877045,3510
19,VIX 2/19/20 C19,0.150000036,0.25,0.220000029,163.826355,2243
20,VIX 2/19/20 C20,0.150000036,0.199999988,0.199999988,179.9732819,12991
21,VIX 2/19/20 C21,0.100000024,0.150000036,0.150000036,184.8294525,112
22,VIX 2/19/20 C22,0.099999964,0.150000036,0.150000036,202.9428711,28913
23,VIX 2/19/20 C23,0.050000001,0.150000036,0.100000024,209.8621063,261
24,VIX 2/19/20 C24,0.050000001,0.099999964,0.059999999,213.2872162,215
25,VIX 2/19/20 C25,0.050000001,0.100000024,0.050000001,227.3303528,945
26,VIX 2/19/20 C26,0.050000001,0.100000024,0.069999993,240.6244202,27
27,VIX 2/19/20 C27,0.050000001,0.100000024,0.050000001,253.2424011,28117
28,VIX 2/19/20 C28,0.050000001,0.100000024,0.050000001,265.2518921,1021
29,VIX 2/19/20 C29,0.050000001,0.050000001,0.050000001,259.3681946,6928
30,VIX 2/19/20 C30,0,0.050000001,0.050000001,269.8760071,10
35,VIX 2/19/20 C35,0,0.050000001,0.050000001,316.5007324,3
42.5,VIX 2/19/20 C42.5,0,0.050000001,0.030000001,372.9178772,10
13,VIXW 2/26/20 C13,1.799999952,2.859999895,0,0,19
13.5,VIXW 2/26/20 C13.5,1.549999952,2.430000067,0,51.44703674,5
14,VIXW 2/26/20 C14,1.320000052,2,0,66.12319946,53
14.5,VIXW 2/26/20 C14.5,1.299999952,1.769999981,0,89.41029358,1
15,VIXW 2/26/20 C15,1.049999952,1.539999962,0,93.67842102,88
16,VIXW 2/26/20 C16,0.899999976,1.049999952,0,105.6213913,40
17,VIXW 2/26/20 C17,0.569999993,0.850000024,0,111.905304,116
18,VIXW 2/26/20 C18,0.469999999,0.829999983,0,130.4417725,10
19,VIXW 2/26/20 C19,0.330000013,0.699999988,0,137.0626068,13
20,VIXW 2/26/20 C20,0.25,0.600000024,0,144.5204163,36
21,VIXW 2/26/20 C21,0.25,0.519999981,0,155.30896,3
24,VIXW 2/26/20 C24,0.059999999,0.25,0,155.2969055,61
25,VIXW 2/26/20 C25,0.100000001,0.200000003,0,164.5301208,20
26,VIXW 2/26/20 C26,0.01,0.310000002,0,176.7079468,13
28,VIXW 2/26/20 C28,0,0.280000001,0,220.5247192,1
40,VIXW 2/26/20 C40,0,0.100000001,0,255.5012207,1
14,VIXW 3/4/20 C14,1.849999428,2.329999924,2.199999809,104.5184021,16
14.5,VIXW 3/4/20 C14.5,1.460000038,2.100000381,1.920000076,102.1606598,31
15,VIXW 3/4/20 C15,1.350000381,1.880000114,0,108.3861847,10
16,VIXW 3/4/20 C16,1.039999962,1.399999619,1.399999619,110.1272659,53
17,VIXW 3/4/20 C17,0.850000024,1.25,1.050000191,121.7308273,11
18,VIXW 3/4/20 C18,0.670000017,0.850000024,0.870000005,119.4866257,4
19,VIXW 3/4/20 C19,0.50999999,0.899999976,0,131.8666229,5
20,VIXW 3/4/20 C20,0.459999979,0.680000007,0.460000038,134.861496,71
21,VIXW 3/4/20 C21,0.300000012,0.689999998,0.5,140.8166962,1
22,VIXW 3/4/20 C22,0.219999969,0.610000014,0.420000017,144.2591858,10
