Strike,Ticker,Bid,Ask,Last,IVM,Volm
12,VIX 2/19/20 P12,0,0.050000001,0.029999999,112.8430844,1
12.5,VIX 2/19/20 P12.5,0,0.050000001,0.02,93.56204555,6
13,VIX 2/19/20 P13,0,0.050000001,0.050000001,74.40908107,1314
13.5,VIX 2/19/20 P13.5,0.100000001,0.150000006,0.100000001,69.70950941,5922
14,VIX 2/19/20 P14,0.300000012,0.349999994,0.300000012,79.84288422,13088
14.5,VIX 2/19/20 P14.5,0.600000024,0.649999976,0.600000024,89.74034531,11499
15,VIX 2/19/20 P15,0.949999988,1,0.949999988,100.3061695,14722
16,VIX 2/19/20 P16,1.799999952,1.850000024,1.850000024,116.5864772,4621
17,VIX 2/19/20 P17,2.700000048,2.799999952,2.75,135.0867787,1436
18,VIX 2/19/20 P18,3.599999905,3.799999952,3.700000048,150.0070046,91
19,VIX 2/19/20 P19,4.599999905,4.800000191,4.199999809,175.3140779,1
20,VIX 2/19/20 P20,5.599999905,5.699999809,5.599999905,177.492794,14
21,VIX 2/19/20 P21,6.599999905,6.699999809,6.369999886,197.4776338,26
24,VIX 2/19/20 P24,9.5,9.699999809,9.359999657,210.9061892,3
25,VIX 2/19/20 P25,10.5,10.80000019,10.60000038,265.5502238,593
45,VIX 2/19/20 P45,30.39999962,30.70000076,30.45000076,0,3
47.5,VIX 2/19/20 P47.5,32.90000153,33.20000076,32.93999863,0,9
55,VIX 2/19/20 P55,40.5,40.70000076,40.09999847,478.5131699,41
12,VIXW 2/26/20 P12,0,0.079999998,0.039999999,77.63342519,1
13,VIXW 2/26/20 P13,0.050000001,0.200000003,0.100000001,58.80672884,5
13.5,VIXW 2/26/20 P13.5,0.150000006,0.300000012,0.270000011,66.27873289,23
14,VIXW 2/26/20 P14,0.239999995,0.5,0.449999988,67.73872249,315
14.5,VIXW 2/26/20 P14.5,0.550000012,0.850000024,0.639999986,68.16932678,5
16,VIXW 2/26/20 P16,1.5,2.049999952,1.649999976,69.82915927,2
17,VIXW 2/26/20 P17,2.230000019,2.950000048,2.25,73.41956001,9
18,VIXW 2/26/20 P18,3.049999952,3.869999886,3.099999905,65.41869933,5
13.5,VIXW 3/4/20 P13.5,0.300000012,0.600000024,0.449999988,91.61628709,57
14,VIXW 3/4/20 P14,0.5,0.949999988,0.649999976,93.74753077,348
14.5,VIXW 3/4/20 P14.5,0.75999999,1.230000019,0.959999979,99.11496178,1
15,VIXW 3/4/20 P15,1.049999952,1.549999952,1.190000057,102.7456602,1
15,VIXW 3/10/20 P15,1.00999999,1.470000029,1.299999952,0,3
16,VIXW 3/10/20 P16,1.659999967,2,1.639999986,0,6
24,VIXW 3/10/20 P24,8.470000267,9.359999657,8.81000042,0,3
10,VIX 3/18/20 P10,0,0.050000001,0.02,83.12211007,4
11,VIX 3/18/20 P11,0,0.050000001,0.029999999,67.42485024,4
11.5,VIX 3/18/20 P11.5,0,0.100000001,0.050000001,69.72522877,4
12,VIX 3/18/20 P12,0.100000001,0.150000006,0.119999997,65.33772194,53
12.5,VIX 3/18/20 P12.5,0.200000003,0.300000012,0.25,71.06892145,4142
13,VIX 3/18/20 P13,0.349999994,0.449999988,0.400000006,74.45911195,5232
13.5,VIX 3/18/20 P13.5,0.550000012,0.649999976,0.600000024,78.2212624,1336
14,VIX 3/18/20 P14,0.800000012,0.899999976,0.850000024,82.72084517,57
14.5,VIX 3/18/20 P14.5,1.049999952,1.149999976,1.080000043,85.27085527,4027
15,VIX 3/18/20 P15,1.350000024,1.450000048,1.450000048,88.61756064,12032
16,VIX 3/18/20 P16,2.049999952,2.150000095,2.049999952,96.29719211,2636
17,VIX 3/18/20 P17,2.75,2.849999905,2.799999952,99.29324779,54
18,VIX 3/18/20 P18,3.5,3.700000048,3.5,104.2013756,5
20,VIX 3/18/20 P20,5.199999809,5.400000095,5.300000191,111.9135813,1
21,VIX 3/18/20 P21,6.099999905,6.300000191,6.119999886,115.921231,30
25,VIX 3/18/20 P25,9.899999619,10.10000038,9.720000267,134.6500785,152
30,VIX 3/18/20 P30,14.69999981,14.89999962,14.69999981,147.5282753,100
45,VIX 3/18/20 P45,29.5,29.70000076,29.54999924,173.0976159,3
47.5,VIX 3/18/20 P47.5,32,32.20000076,32.06000137,180.9204003,9
13,VIXW 3/25/20 P13,0.25999999,0.589999974,0.419999987,41.55435136,1
13.5,VIXW 3/25/20 P13.5,0.439999998,0.75,0.620000005,38.17381895,1
14,VIXW 3/25/20 P14,0,2.700000048,0.800000012,140.8001251,10
11,VIX 4/15/20 P11,0,0.100000001,0.050000001,62.70504341,10
12,VIX 4/15/20 P12,0.100000001,0.150000006,0.150000006,54.15930048,282
13,VIX 4/15/20 P13,0.349999994,0.449999988,0.400000006,62.10301315,356
14,VIX 4/15/20 P14,0.75,0.800000012,0.730000019,67.07108662,200
15,VIX 4/15/20 P15,1.25,1.350000024,1.299999952,71.79248556,2072
16,VIX 4/15/20 P16,1.850000024,1.950000048,1.850000024,75.56299821,576
17,VIX 4/15/20 P17,2.549999952,2.650000095,2.549999952,79.8267316,1063
18,VIX 4/15/20 P18,3.299999952,3.400000095,3.299999952,83.37278961,96
19,VIX 4/15/20 P19,4,4.199999809,3.900000095,84.79169205,38
20,VIX 4/15/20 P20,4.900000095,5,4.920000076,88.46442475,10
30,VIX 4/15/20 P30,14.10000038,14.30000019,14.10000038,108.0941544,30
80,VIX 4/15/20 P80,63.59999847,63.79999924,63.59999847,130.4191354,100
